[Parsed_ebur128_0 @ 000001be3ec016c0] t: 6.399969   TARGET:-23 LUFS    M: -54.2 S: -44.2     I: -45.8 LUFS       LRA:   4.1 LU  FTPK: -43.8 -43.9 dBFS  TPK: -21.1 -21.4 dBFS
[Parsed_ebur128_0 @ 000001be3ec016c0] t: 6.499969   TARGET:-23 LUFS    M: -54.0 S: -44.2     I: -45.9 LUFS       LRA:   4.1 LU  FTPK: -43.9 -43.9 dBFS  TPK: -21.1 -21.4 dBFS
[Parsed_ebur128_0 @ 000001be3ec016c0] t: 6.599969   TARGET:-23 LUFS    M: -49.3 S: -44.1     I: -45.9 LUFS       LRA:   4.1 LU  FTPK: -27.3 -27.6 dBFS  TPK: -21.1 -21.4 dBFS
[Parsed_ebur128_0 @ 000001be3ec016c0] t: 6.699969   TARGET:-23 LUFS    M: -34.6 S: -40.8     I: -45.2 LUFS       LRA:   4.1 LU  FTPK: -19.2 -19.2 dBFS  TPK: -19.2 -19.2 dBFS
[Parsed_ebur128_0 @ 000001be3ec016c0] t: 6.799969   TARGET:-23 LUFS    M: -34.4 S: -40.6     I: -44.2 LUFS       LRA:   4.2 LU  FTPK: -28.5 -26.9 dBFS  TPK: -19.2 -19.2 dBFS
[Parsed_ebur128_0 @ 000001be3ec016c0] t: 6.899969   TARGET:-23 LUFS    M: -34.4 S: -40.6     I: -41.2 LUFS       LRA:   7.5 LU  FTPK: -40.4 -40.3 dBFS  TPK: -19.2 -19.2 dBFS
[Parsed_ebur128_0 @ 000001be3ec016c0] t: 6.999969   TARGET:-23 LUFS    M: -34.4 S: -40.6     I: -40.0 LUFS       LRA:   7.6 LU  FTPK: -43.2 -43.4 dBFS  TPK: -19.2 -19.2 dBFS
[Parsed_ebur128_0 @ 000001be3ec016c0] t: 7.099969   TARGET:-23 LUFS    M: -46.3 S: -40.6     I: -40.1 LUFS       LRA:   7.6 LU  FTPK: -45.6 -45.7 dBFS  TPK: -19.2 -19.2 dBFS
[Parsed_ebur128_0 @ 000001be3ec016c0] t: 7.199969   TARGET:-23 LUFS    M: -52.7 S: -40.6     I: -40.4 LUFS       LRA:   7.6 LU  FTPK: -46.3 -45.5 dBFS  TPK: -19.2 -19.2 dBFS
[Parsed_ebur128_0 @ 000001be3ec016c0] t: 7.299969   TARGET:-23 LUFS    M: -54.2 S: -40.6     I: -40.5 LUFS       LRA:   7.6 LU  FTPK: -45.2 -45.0 dBFS  TPK: -19.2 -19.2 dBFS
[Parsed_ebur128_0 @ 000001be3ec016c0] t: 7.399969   TARGET:-23 LUFS    M: -54.5 S: -41.2     I: -40.5 LUFS       LRA:   7.6 LU  FTPK: -45.4 -45.5 dBFS  TPK: -19.2 -19.2 dBFS
[Parsed_ebur128_0 @ 000001be3ec016c0] t: 7.499969   TARGET:-23 LUFS    M: -54.6 S: -41.3     I: -40.5 LUFS       LRA:   7.6 LU  FTPK: -45.4 -45.2 dBFS  TPK: -19.2 -19.2 dBFS
[Parsed_ebur128_0 @ 000001be3ec016c0] t: 7.599969   TARGET:-23 LUFS    M: -54.2 S: -41.3     I: -40.5 LUFS       LRA:   7.6 LU  FTPK: -40.4 -40.6 dBFS  TPK: -19.2 -19.2 dBFS
[Parsed_ebur128_0 @ 000001be3ec016c0] t: 7.699969   TARGET:-23 LUFS    M: -39.1 S: -40.4     I: -40.5 LUFS       LRA:   7.6 LU  FTPK: -22.8 -22.4 dBFS  TPK: -19.2 -19.2 dBFS
[Parsed_ebur128_0 @ 000001be3ec016c0] t: 7.799969   TARGET:-23 LUFS    M: -37.6 S: -40.1     I: -40.1 LUFS       LRA:   7.6 LU  FTPK: -25.9 -26.2 dBFS  TPK: -19.2 -19.2 dBFS
[Parsed_ebur128_0 @ 000001be3ec016c0] t: 7.899969   TARGET:-23 LUFS    M: -37.6 S: -40.1     I: -40.0 LUFS       LRA:   7.8 LU  FTPK: -41.6 -41.3 dBFS  TPK: -19.2 -19.2 dBFS
[Parsed_ebur128_0 @ 000001be3ec016c0] t: 7.999969   TARGET:-23 LUFS    M: -37.6 S: -40.1     I: -39.9 LUFS       LRA:   7.8 LU  FTPK: -42.5 -42.5 dBFS  TPK: -19.2 -19.2 dBFS
[Parsed_ebur128_0 @ 000001be3ec016c0] t: 8.099969   TARGET:-23 LUFS    M: -42.6 S: -40.1     I: -40.0 LUFS       LRA:   8.1 LU  FTPK: -42.6 -42.1 dBFS  TPK: -19.2 -19.2 dBFS
[Parsed_ebur128_0 @ 000001be3ec016c0] t: 8.199969   TARGET:-23 LUFS    M: -52.2 S: -40.1     I: -40.1 LUFS       LRA:   8.1 LU  FTPK: -44.5 -44.7 dBFS  TPK: -19.2 -19.2 dBFS
[Parsed_ebur128_0 @ 000001be3ec016c0] t: 8.299969   TARGET:-23 LUFS    M: -53.7 S: -40.1     I: -40.1 LUFS       LRA:   8.1 LU  FTPK: -46.0 -45.9 dBFS  TPK: -19.2 -19.2 dBFS
[Parsed_ebur128_0 @ 000001be3ec016c0] t: 8.399969   TARGET:-23 LUFS    M: -54.1 S: -40.1     I: -40.1 LUFS       LRA:   8.1 LU  FTPK: -47.1 -46.9 dBFS  TPK: -19.2 -19.2 dBFS
[Parsed_ebur128_0 @ 000001be3ec016c0] t: 8.499969   TARGET:-23 LUFS    M: -54.1 S: -40.1     I: -40.1 LUFS       LRA:   8.1 LU  FTPK: -46.4 -46.7 dBFS  TPK: -19.2 -19.2 dBFS
[Parsed_ebur128_0 @ 000001be3ec016c0] t: 8.599969   TARGET:-23 LUFS    M: -41.6 S: -40.7     I: -40.1 LUFS       LRA:   8.1 LU  FTPK: -19.1 -19.0 dBFS  TPK: -19.1 -19.0 dBFS
[Parsed_ebur128_0 @ 000001be3ec016c0] t: 8.699969   TARGET:-23 LUFS    M: -32.0 S: -38.0     I: -39.3 LUFS       LRA:   8.1 LU  FTPK: -17.2 -17.1 dBFS  TPK: -17.2 -17.1 dBFS
[Parsed_ebur128_0 @ 000001be3ec016c0] t: 8.799969   TARGET:-23 LUFS    M: -32.0 S: -38.0     I: -38.7 LUFS       LRA:   8.1 LU  FTPK: -35.7 -35.4 dBFS  TPK: -17.2 -17.1 dBFS
[Parsed_ebur128_0 @ 000001be3ec016c0] t: 8.899969   TARGET:-23 LUFS    M: -31.9 S: -38.0     I: -38.1 LUFS       LRA:   8.1 LU  FTPK: -40.6 -40.6 dBFS  TPK: -17.2 -17.1 dBFS
[Parsed_ebur128_0 @ 000001be3ec016c0] t: 8.999969   TARGET:-23 LUFS    M: -32.4 S: -38.0     I: -37.8 LUFS       LRA:  10.3 LU  FTPK: -43.2 -43.1 dBFS  TPK: -17.2 -17.1 dBFS
[Parsed_ebur128_0 @ 000001be3ec016c0] t: 9.099969   TARGET:-23 LUFS    M: -48.3 S: -38.0     I: -37.9 LUFS       LRA:  10.3 LU  FTPK: -43.5 -43.4 dBFS  TPK: -17.2 -17.1 dBFS
[Parsed_ebur128_0 @ 000001be3ec016c0] t: 9.199969   TARGET:-23 LUFS    M: -51.8 S: -38.0     I: -37.9 LUFS       LRA:  10.3 LU  FTPK: -42.9 -42.6 dBFS  TPK: -17.2 -17.1 dBFS
[Parsed_ebur128_0 @ 000001be3ec016c0] t: 9.299969   TARGET:-23 LUFS    M: -52.2 S: -38.0     I: -37.9 LUFS       LRA:  10.3 LU  FTPK: -42.1 -42.1 dBFS  TPK: -17.2 -17.1 dBFS
[Parsed_ebur128_0 @ 000001be3ec016c0] t: 9.399969   TARGET:-23 LUFS    M: -52.4 S: -38.0     I: -37.9 LUFS       LRA:  10.3 LU  FTPK: -43.5 -43.2 dBFS  TPK: -17.2 -17.1 dBFS
[Parsed_ebur128_0 @ 000001be3ec016c0] t: 9.499969   TARGET:-23 LUFS    M: -52.1 S: -38.0     I: -37.9 LUFS       LRA:  10.3 LU  FTPK: -42.1 -42.1 dBFS  TPK: -17.2 -17.1 dBFS
[Parsed_ebur128_0 @ 000001be3ec016c0] t: 9.599969   TARGET:-23 LUFS    M: -52.0 S: -38.0     I: -37.9 LUFS       LRA:  10.3 LU  FTPK: -42.5 -42.4 dBFS  TPK: -17.2 -17.1 dBFS
[Parsed_ebur128_0 @ 000001be3ec016c0] t: 9.699969   TARGET:-23 LUFS    M: -51.9 S: -39.4     I: -37.9 LUFS       LRA:  10.3 LU  FTPK: -40.2 -41.1 dBFS  TPK: -17.2 -17.1 dBFS
[Parsed_ebur128_0 @ 000001be3ec016c0] t: 9.799969   TARGET:-23 LUFS    M: -48.2 S: -39.5     I: -38.0 LUFS       LRA:  10.3 LU  FTPK: -32.4 -32.2 dBFS  TPK: -17.2 -17.1 dBFS
[Parsed_ebur128_0 @ 000001be3ec016c0] t: 9.899969   TARGET:-23 LUFS    M: -48.3 S: -39.5     I: -38.1 LUFS       LRA:  10.3 LU  FTPK: -42.1 -42.1 dBFS  TPK: -17.2 -17.1 dBFS
